"U.W","U.A","U.Y","W","A.con","A.bin","Y.con","Y.bin"
4.18567076139152,0.597407086609647,4,0,7.59740708660965,0,7,0
2.47527334233746,0.88299979955338,1,0,7.88299979955338,0,4,0
5.45734958257526,-2.73736511635401,1,0,4.26263488364599,0,4,0
4.70528564648703,0.656516318895782,2,0,7.65651631889578,0,5,0
5.72011232492514,0.341500249152507,4,0,7.34150024915251,0,7,0
1.72981914668344,-0.348675509663379,0,0,6.65132449033662,0,3,0
3.60857763537206,1.02452108927011,0,0,8.02452108927011,1,3,0
9.53160154400393,1.21302749019333,1,1,6.21302749019334,0,11,1
7.02687959279865,-1.39227433439329,1,1,3.60772566560671,0,11,1
1.95879338122904,-1.16522961292115,2,0,5.83477038707885,0,5,0
5.01276838616468,0.433280316655267,1,0,7.43328031665527,0,4,0
9.82448928430676,0.752533234716107,3,1,5.75253323471611,0,13,1
5.08799675083719,-0.122596245302456,2,0,6.87740375469754,0,5,0
5.23433882696554,0.465630845198827,1,0,7.46563084519883,0,4,0
9.19737148704007,-1.65896355144671,1,1,3.34103644855329,0,11,1
1.43263937742449,-0.810308616804836,2,0,6.18969138319516,0,5,0
2.37805134570226,-0.366502122477272,1,0,6.63349787752273,0,4,0
1.40163270384073,0.582050866305788,8,0,7.58205086630579,0,11,1
8.73437713528983,-0.135979601951595,0,1,4.86402039804841,0,10,0
3.63217644789256,0.755555176350228,1,0,7.75555517635023,0,4,0
7.09733259654604,-2.26890407948506,3,1,2.73109592051494,0,13,1
1.28471514792182,1.70361400347636,4,0,8.70361400347636,1,7,0
2.88471111934632,-1.52186176935088,3,0,5.47813823064912,0,6,0
8.36155789834447,0.117487533354633,0,1,5.11748753335463,0,10,0
3.51229466334917,-2.48453646635473,3,0,4.51546353364527,0,6,0
9.00819102721289,-0.836608606980329,1,1,4.16339139301967,0,11,1
3.9996990847867,1.97655479679203,3,0,8.97655479679203,1,6,0
2.93831747840159,-1.61171025117651,3,0,5.38828974882349,0,6,0
3.4486283021979,0.61863939598234,1,0,7.61863939598234,0,4,0
3.72616987372749,-1.69769042870339,2,0,5.30230957129661,0,5,0
1.5841546447482,0.531718225463865,1,0,7.53171822546387,0,4,0
9.08250140794553,2.42740789672656,2,1,7.42740789672656,0,12,1
5.25667925388552,2.64504940080682,5,0,9.64504940080682,1,8,0
1.40108984569088,0.611535779652061,1,0,7.61153577965206,0,4,0
2.04942430183291,0.300389718973594,3,0,7.30038971897359,0,6,0
7.89499696297571,1.15137827264886,2,1,6.15137827264886,0,12,1
9.25464786658995,2.45652622074404,5,1,7.45652622074404,0,15,1
8.31530502275564,-1.59014403017148,1,1,3.40985596982852,0,11,1
7.35839200415649,2.50697613479979,0,1,7.50697613479979,0,10,0
1.23108281753957,-0.321077276870054,3,0,6.67892272312995,0,6,0
9.52184909069911,0.459221264271174,4,1,5.45922126427117,0,14,1
8.8067481406033,-0.383337785085634,0,1,4.61666221491437,0,10,0
2.1053918953985,0.811967792185139,0,0,7.81196779218514,0,3,0
4.40838800580241,0.457845216727836,1,0,7.45784521672784,0,4,0
2.47866802988574,1.71222078061827,2,0,8.71222078061827,1,5,0
9.06998642394319,0.277079258752795,5,1,5.2770792587528,0,15,1
3.24318871460855,-0.480325898679362,1,0,6.51967410132064,0,4,0
2.17767605162226,0.487521045592794,2,0,7.48752104559279,0,5,0
6.88627211726271,-0.172861493982527,3,0,6.82713850601747,0,6,0
4.67289626901038,-0.414740228797939,0,0,6.58525977120206,0,3,0
